# Sample Swim Data - Fake data for testing
# Format: swimmerId,name,birthYear,sex,distance,stroke,course,date,timeSeconds
S008,Ethan Taylor,2004,M,100,Breast,SCY,2024-03-20,60.56
S008,Ethan Taylor,2004,M,200,Breast,SCY,2024-03-20,131.34
S008,Ethan Taylor,2004,M,100,Breast,SCY,2024-04-12,59.78
S008,Ethan Taylor,2004,M,200,Breast,SCY,2024-04-12,129.67
S009,Mia Anderson,2005,F,100,Fly,SCY,2024-01-15,62.34
S009,Mia Anderson,2005,F,200,Fly,SCY,2024-01-15,136.78
S009,Mia Anderson,2005,F,100,Fly,SCY,2024-02-10,61.45
S009,Mia Anderson,2005,F,200,Fly,SCY,2024-02-10,134.23
S009,Mia Anderson,2005,F,100,Fly,SCY,2024-03-05,60.12
S009,Mia Anderson,2005,F,200,Fly,SCY,2024-03-05,131.89
S009,Mia Anderson,2005,F,100,Fly,SCY,2024-03-20,59.34
S009,Mia Anderson,2005,F,200,Fly,SCY,2024-03-20,129.56
S009,Mia Anderson,2005,F,100,Fly,SCY,2024-04-12,58.67
S009,Mia Anderson,2005,F,200,Fly,SCY,2024-04-12,127.89
S010,Liam Garcia,2003,M,200,IM,SCY,2024-01-15,124.56
S010,Liam Garcia,2003,M,400,IM,SCY,2024-01-15,265.78
S010,Liam Garcia,2003,M,200,IM,SCY,2024-02-10,122.89
S010,Liam Garcia,2003,M,400,IM,SCY,2024-02-10,262.45
S010,Liam Garcia,2003,M,200,IM,SCY,2024-03-05,120.67
S010,Liam Garcia,2003,M,400,IM,SCY,2024-03-05,258.90
S010,Liam Garcia,2003,M,200,IM,SCY,2024-03-20,118.34
S010,Liam Garcia,2003,M,400,IM,SCY,2024-03-20,255.23
S010,Liam Garcia,2003,M,200,IM,SCY,2024-04-12,116.78
S010,Liam Garcia,2003,M,400,IM,SCY,2024-04-12,252.67
